State,Year,Population
Alabama,2020,4893186
Alaska,2020,736990
Arizona,2020,7174064
Arkansas,2020,3011873
California,2020,39346023
Colorado,2020,5684926
Connecticut,2020,3570549
Delaware,2020,967679
District of Columbia,2020,701974
Florida,2020,21216924
Georgia,2020,10516579
Hawaii,2020,1420074
Idaho,2020,1754367
Illinois,2020,12716164
Indiana,2020,6696893
Iowa,2020,3150011
Kansas,2020,2912619
Kentucky,2020,4461952
Louisiana,2020,4664616
Maine,2020,1340825
Maryland,2020,6037624
Massachusetts,2020,6873003
Michigan,2020,9973907
Minnesota,2020,5600166
Mississippi,2020,2981835
Missouri,2020,6124160
Montana,2020,1061705
Nebraska,2020,1923826
Nevada,2020,3030281
New Hampshire,2020,1355244
New Jersey,2020,8885418
New Mexico,2020,2097021
New York,2020,19514849
North Carolina,2020,10386227
North Dakota,2020,760394
Ohio,2020,11675275
Oklahoma,2020,3949342
Oregon,2020,4176346
Pennsylvania,2020,12794885
Rhode Island,2020,1057798
South Carolina,2020,5091517
South Dakota,2020,879336
Tennessee,2020,6772268
Texas,2020,28635442
Utah,2020,3151239
Vermont,2020,624340
Virginia,2020,8509358
Washington,2020,7512465
West Virginia,2020,1807426
Wisconsin,2020,5806975
Wyoming,2020,581348
Puerto Rico,2020,3255642
Alabama,2019,4876250
Alaska,2019,737068
Arizona,2019,7050299
Arkansas,2019,2999370
California,2019,39283497
Colorado,2019,5610349
Connecticut,2019,3575074
Delaware,2019,957248
District of Columbia,2019,692683
Florida,2019,20901636
Georgia,2019,10403847
Hawaii,2019,1422094
Idaho,2019,1717750
Illinois,2019,12770631
Indiana,2019,6665703
Iowa,2019,3139508
Kansas,2019,2910652
Kentucky,2019,4449052
Louisiana,2019,4664362
Maine,2019,1335492
Maryland,2019,6018848
Massachusetts,2019,6850553
Michigan,2019,9965265
Minnesota,2019,5563378
Mississippi,2019,2984418
Missouri,2019,6104910
Montana,2019,1050649
Nebraska,2019,1914571
Nevada,2019,2972382
New Hampshire,2019,1348124
New Jersey,2019,8878503
New Mexico,2019,2092454
New York,2019,19572319
North Carolina,2019,10264876
North Dakota,2019,756717
Ohio,2019,11655397
Oklahoma,2019,3932870
Oregon,2019,4129803
Pennsylvania,2019,12791530
Rhode Island,2019,1057231
South Carolina,2019,5020806
South Dakota,2019,870638
Tennessee,2019,6709356
Texas,2019,28260856
Utah,2019,3096848
Vermont,2019,624313
Virginia,2019,8454463
Washington,2019,7404107
West Virginia,2019,1817305
